time,{Tester}.TesterInstance.string_c,{Rabbit}.RabbitInstance.output_op_pos_y
0.0,,13,103449
0.1,13,103449,13,103449
0.2,13,103449,13,103449
0.30000000000000004,13,103449,13,103449
0.4,13,103449,13,103449
0.5,13,103449,13,103449
0.6,13,103449,13,103449
0.7,13,103449,13,103449
0.7999999999999999,13,103449,13,103449
0.8999999999999999,13,103449,13,103449
0.9999999999999999,13,103449,13,330134
1.0999999999999999,13,330134,13,330134
1.2,13,330134,13,330134
1.3,13,330134,13,330134
1.4000000000000001,13,330134,13,330134
1.5000000000000002,13,330134,13,330134
1.6000000000000003,13,330134,13,330134
1.7000000000000004,13,330134,13,330134
1.8000000000000005,13,330134,13,330134
1.9000000000000006,13,330134,13,330134
2.0000000000000004,13,330134,12,059582
2.1000000000000005,12,059582,12,059582
2.2000000000000006,12,059582,12,059582
2.3000000000000007,12,059582,12,059582
2.400000000000001,12,059582,12,059582
2.500000000000001,12,059582,12,059582
2.600000000000001,12,059582,12,059582
2.700000000000001,12,059582,12,059582
2.800000000000001,12,059582,12,059582
2.9000000000000012,12,059582,12,059582
3.0000000000000013,12,059582,10,428047
3.1000000000000014,10,428047,10,428047
3.2000000000000015,10,428047,10,428047
3.3000000000000016,10,428047,10,428047
3.4000000000000017,10,428047,10,428047
3.5000000000000018,10,428047,10,428047
3.600000000000002,10,428047,10,428047
3.700000000000002,10,428047,10,428047
3.800000000000002,10,428047,10,428047
3.900000000000002,10,428047,10,428047
4.000000000000002,10,428047,9,176687
4.100000000000001,9,176687,9,176687
4.200000000000001,9,176687,9,176687
4.300000000000001,9,176687,9,176687
4.4,9,176687,9,176687
4.5,9,176687,9,176687
4.6,9,176687,9,176687
4.699999999999999,9,176687,9,176687
4.799999999999999,9,176687,9,176687
4.899999999999999,9,176687,9,176687
4.999999999999998,9,176687,8,161178
5.099999999999998,8,161178,8,161178
5.1999999999999975,8,161178,8,161178
5.299999999999997,8,161178,8,161178
5.399999999999997,8,161178,8,161178
5.4999999999999964,8,161178,8,161178
5.599999999999996,8,161178,8,161178
5.699999999999996,8,161178,8,161178
5.799999999999995,8,161178,8,161178
5.899999999999995,8,161178,8,161178
5.999999999999995,8,161178,7,136708
6.099999999999994,7,136708,7,136708
6.199999999999994,7,136708,7,136708
6.299999999999994,7,136708,7,136708
6.399999999999993,7,136708,7,136708
6.499999999999993,7,136708,7,136708
6.5999999999999925,7,136708,7,136708
6.699999999999992,7,136708,7,136708
6.799999999999992,7,136708,7,136708
6.8999999999999915,7,136708,7,136708
6.999999999999991,7,136708,6,1097856
7.099999999999991,6,1097856,6,1097856
7.19999999999999,6,1097856,6,1097856
7.29999999999999,6,1097856,6,1097856
7.39999999999999,6,1097856,6,1097856
7.499999999999989,6,1097856,6,1097856
7.599999999999989,6,1097856,6,1097856
7.699999999999989,6,1097856,6,1097856
7.799999999999988,6,1097856,6,1097856
7.899999999999988,6,1097856,6,1097856
7.999999999999988,6,1097856,5,5419574
8.099999999999987,5,5419574,5,5419574
8.199999999999987,5,5419574,5,5419574
8.299999999999986,5,5419574,5,5419574
8.399999999999986,5,5419574,5,5419574
8.499999999999986,5,5419574,5,5419574
8.599999999999985,5,5419574,5,5419574
8.699999999999985,5,5419574,5,5419574
8.799999999999985,5,5419574,5,5419574
8.899999999999984,5,5419574,5,5419574
8.999999999999984,5,5419574,5,373333
9.099999999999984,5,373333,5,373333
9.199999999999983,5,373333,5,373333
9.299999999999983,5,373333,5,373333
9.399999999999983,5,373333,5,373333
9.499999999999982,5,373333,5,373333
9.599999999999982,5,373333,5,373333
9.699999999999982,5,373333,5,373333
9.799999999999981,5,373333,5,373333
9.89999999999998,5,373333,5,373333
9.99999999999998,5,373333,5,4602118
